epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4112,1.38441,2.90426,1.59092,0.0032,0.96,0.78751,0.46755,1.27378,3.31542,1.55977,0.000606061,0.000606061,0.000606061
2,62.5153,1.41174,2.45797,1.47081,0.00307,0.92,0.40005,0.21048,1.44944,3.3764,1.71188,0.00124753,0.00124753,0.00124753
3,93.4654,1.59723,2.31671,1.62081,0.24722,0.24,0.17096,0.06584,2.08204,4.00109,2.55362,0.00186259,0.00186259,0.00186259
4,124.141,1.82898,2.64862,1.78276,0.09941,0.36,0.1464,0.04812,1.9026,4.39251,3.62857,0.0018812,0.0018812,0.0018812
5,154.885,1.50999,2.38157,1.71641,0.36294,0.28,0.28129,0.10669,2.1813,3.81719,3.14578,0.0018416,0.0018416,0.0018416
6,185.432,1.59466,2.21119,1.65665,0.51167,0.72,0.51509,0.18641,1.99986,3.20474,2.66114,0.001802,0.001802,0.001802
7,216.003,1.58654,2.18124,1.67033,0.37884,0.36,0.33046,0.14843,1.7645,3.43823,2.12127,0.0017624,0.0017624,0.0017624
8,246.525,1.48716,2.11272,1.62848,0.67214,0.57446,0.60829,0.35375,1.65539,3.19237,2.253,0.0017228,0.0017228,0.0017228
9,277.225,1.55334,2.06887,1.6517,0.36763,0.56,0.40746,0.22468,1.72716,2.90919,2.11195,0.0016832,0.0016832,0.0016832
10,308.41,1.46737,2.07653,1.6291,0.79632,0.626,0.72004,0.40471,1.75645,2.58825,2.33782,0.0016436,0.0016436,0.0016436
11,339.197,1.57157,1.99168,1.64182,0.2852,0.4,0.30698,0.15822,1.84146,3.37378,2.36976,0.001604,0.001604,0.001604
12,369.871,1.63647,2.02757,1.61857,0.28627,0.68,0.34219,0.18344,1.66995,3.16387,2.20457,0.0015644,0.0015644,0.0015644
13,400.503,1.54473,2.00085,1.65474,0.64411,0.43465,0.48179,0.2748,1.78561,2.83041,2.25484,0.0015248,0.0015248,0.0015248
